Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 70.0.3538.110,test bikin suite,2019-01-03 13:41:42,2019-01-03 13:42:01,18.488s,PASSED
,,,,,,
Test Cases/Basic,Chrome 70.0.3538.110,,2019-01-03 13:41:42,2019-01-03 13:42:01,18.050s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-03 13:41:43,2019-01-03 13:41:47,3.927s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 70.0.3538.110,,2019-01-03 13:41:47,2019-01-03 13:41:53,6.247s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2019-01-03 13:41:53,2019-01-03 13:41:55,2.025s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-03 13:41:55,2019-01-03 13:41:56,1.232s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:41:56,2019-01-03 13:41:57,0.695s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 70.0.3538.110,,2019-01-03 13:41:57,2019-01-03 13:41:57,0.135s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 70.0.3538.110,,2019-01-03 13:41:57,2019-01-03 13:41:57,0.398s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 70.0.3538.110,,2019-01-03 13:41:57,2019-01-03 13:41:58,0.931s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/label_Apply for hospital readm""))",Chrome 70.0.3538.110,,2019-01-03 13:41:58,2019-01-03 13:41:59,0.159s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Chrome 70.0.3538.110,,2019-01-03 13:41:59,2019-01-03 13:41:59,0.119s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/td_24""))",Chrome 70.0.3538.110,,2019-01-03 13:41:59,2019-01-03 13:41:59,0.082s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""thus is comment"")",Chrome 70.0.3538.110,,2019-01-03 13:41:59,2019-01-03 13:41:59,0.138s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:41:59,2019-01-03 13:41:59,0.444s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 70.0.3538.110,,2019-01-03 13:41:59,2019-01-03 13:42:00,0.557s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2019-01-03 13:42:00,2019-01-03 13:42:01,0.618s,PASSED
